of,and,of the,for,in the,with,in,to,the,that,
44.943820,80.380294,31.114952,33.707865,8.643042,8.643042,15.557476,6.914434,81.244598,12.964564,
65.099458,36.166365,34.358047,18.083183,5.424955,3.616637,7.233273,9.041591,63.291139,34.358047,
46.476762,17.991004,4.497751,10.494753,0.000000,7.496252,8.995502,20.989505,52.473763,10.494753,
31.180401,35.634744,11.135857,8.908686,4.454343,8.908686,15.590200,10.022272,63.474388,7.795100,
22.727273,58.612440,5.980861,5.980861,2.392344,16.746411,4.784689,19.138756,25.119617,21.531100,
37.478705,28.960818,11.925043,32.367973,0.000000,1.703578,10.221465,13.628620,49.403748,22.146508,
45.454545,30.681818,19.318182,12.500000,0.000000,4.545455,11.363636,7.954545,48.863636,14.772727,
45.008183,35.188216,18.003273,13.093290,8.183306,4.909984,18.003273,6.546645,69.558101,9.819967,
41.742287,52.631579,19.963702,19.963702,7.259528,1.814882,19.963702,16.333938,65.335753,23.593466,
52.253429,47.028086,16.982364,17.635532,8.491182,10.450686,17.635532,12.410189,48.334422,15.676029,
32.102729,81.861958,8.025682,9.630819,4.012841,5.617978,15.248796,5.617978,35.313002,9.630819,
48.117155,37.656904,21.966527,8.368201,2.092050,0.000000,5.230126,13.598326,67.991632,8.368201,
114.028507,47.261815,38.259565,1.500375,3.000750,2.250563,5.251313,33.758440,58.514629,26.256564,
99.033816,102.657005,31.400966,0.000000,7.246377,3.623188,8.454106,4.830918,59.178744,24.154589,
98.373354,85.979861,52.672347,5.422153,6.971340,0.774593,8.520527,11.618900,111.541441,13.942680,
85.451977,78.389831,43.079096,6.355932,12.711864,4.237288,17.655367,16.242938,80.508475,16.949153,
33.407572,76.837416,7.795100,3.340757,2.227171,8.908686,6.681514,17.817372,93.541203,15.590200,
60.646900,59.299191,25.606469,21.563342,4.043127,5.390836,4.043127,8.086253,82.210243,10.781671,
113.460547,28.365137,41.258381,28.880866,1.031460,7.220217,1.031460,3.094379,61.371841,4.641568,
58.224163,65.502183,26.200873,18.922853,5.822416,4.366812,10.189229,17.467249,98.981077,10.189229,
59.556787,44.321330,24.930748,2.770083,11.080332,1.385042,22.160665,12.465374,99.722992,19.390582,
90.909091,54.994388,42.648709,8.978676,7.856341,7.856341,11.223345,19.079686,84.175084,10.101010,
35.037879,79.545455,19.886364,7.575758,6.628788,5.681818,15.151515,9.469697,75.757576,17.992424,
26.041667,80.729167,18.229167,2.604167,7.812500,2.604167,26.041667,5.208333,54.687500,2.604167,
102.564103,68.825911,37.786775,2.699055,4.048583,4.048583,14.844804,13.495277,82.321188,10.796221,
36.440678,56.779661,14.406780,9.322034,6.779661,6.779661,17.796610,13.559322,70.338983,12.711864,
46.816479,45.880150,16.853933,29.962547,2.808989,10.299625,12.172285,9.363296,63.670412,22.471910,
46.979866,86.502610,17.151380,7.457122,3.728561,5.219985,8.202834,14.914243,69.351230,17.897092,
65.671642,62.686567,11.940299,14.925373,5.970149,5.970149,5.970149,20.895522,77.611940,8.955224,
73.807381,47.704770,32.403240,17.101710,2.700270,8.100810,9.000900,10.801080,72.007201,8.100810,
36.603221,74.670571,16.105417,10.248902,4.392387,5.856515,16.105417,0.000000,71.742313,29.282577,
44.247788,84.702908,13.906448,5.056890,6.321113,7.585335,13.906448,10.113780,65.739570,5.056890,
55.853921,75.187970,24.704619,8.592911,11.815252,2.148228,17.185822,19.334049,63.372718,12.889366,
42.464613,69.109076,19.983347,7.493755,7.493755,11.656953,13.322231,20.815987,54.954205,15.820150,
30.955585,90.174966,9.421265,1.345895,0.000000,4.037685,6.729475,10.767160,37.685061,9.421265,
34.901366,74.355083,9.104704,6.069803,1.517451,1.517451,6.069803,15.174507,44.006070,10.622155,
85.393258,62.921348,22.471910,11.235955,13.483146,6.741573,22.471910,4.494382,92.134831,15.730337,
152.143845,59.474412,60.165975,2.074689,4.840941,1.383126,6.224066,13.139696,93.360996,13.139696,
60.655738,68.852459,11.475410,3.278689,9.836066,1.639344,21.311475,6.557377,77.049180,8.196721,
46.213094,44.929397,16.688062,30.808729,10.269576,8.985879,12.836970,5.134788,55.198973,0.000000,
32.494759,81.761006,22.012579,45.073375,1.048218,3.144654,2.096436,13.626834,67.085954,1.048218,
21.868787,43.737575,1.988072,0.000000,5.964215,5.964215,15.904573,7.952286,31.809145,15.904573,
79.470199,98.509934,28.973510,7.450331,0.827815,7.450331,3.311258,9.933775,96.854305,10.761589,
58.473736,85.232904,11.892963,13.875124,6.937562,3.964321,9.910803,11.892963,77.304262,5.946482,
47.413793,120.689655,17.241379,4.310345,20.474138,2.155172,48.491379,10.775862,38.793103,2.155172,
109.523810,57.142857,39.682540,9.523810,1.587302,3.174603,1.587302,25.396825,115.873016,1.587302,
53.886010,39.378238,15.544041,18.652850,5.181347,7.253886,11.398964,19.689119,74.611399,17.616580,
128.089888,33.707865,56.179775,6.741573,4.494382,0.000000,6.741573,26.966292,85.393258,4.494382,
29.318542,68.938193,12.678288,7.923930,8.716323,1.584786,26.148970,18.225040,56.259905,13.470681,
46.033301,49.951028,11.753183,15.670911,0.979432,5.876592,18.609207,11.753183,72.477963,10.773751,
45.398773,67.484663,13.496933,13.496933,1.226994,4.907975,8.588957,12.269939,69.938650,15.950920,
37.924152,51.230872,14.637392,9.314704,7.984032,5.988024,18.629408,13.306720,58.549568,22.621424,
36.916395,43.431053,22.801303,8.686211,8.686211,11.943540,18.458198,10.857763,49.945711,30.401737,
23.328149,74.650078,10.886470,4.665630,4.665630,10.886470,15.552100,21.772939,52.877138,17.107309,
20.166074,55.753262,5.931198,8.303677,1.186240,9.489917,3.558719,15.421115,62.870700,13.048636,
30.035336,68.904594,10.600707,5.300353,3.533569,3.533569,15.901060,15.901060,33.568905,24.734982,
32.191070,51.921080,14.537902,10.384216,6.230530,8.307373,12.461059,23.883697,64.382139,11.422638,
39.735099,71.192053,13.245033,8.278146,13.245033,8.278146,24.834437,26.490066,76.158940,11.589404,
31.578947,67.368421,11.578947,8.421053,7.368421,5.263158,20.000000,24.210526,63.157895,14.736842,
26.540284,58.767773,6.635071,4.739336,6.635071,6.635071,15.165877,17.061611,62.559242,19.905213,
51.036683,52.631579,22.328549,4.784689,1.594896,9.569378,4.784689,22.328549,54.226475,15.948963,
26.874116,79.207921,1.414427,16.973126,2.828854,2.828854,8.486563,7.072136,108.910891,24.045262,
28.288543,41.018388,4.243281,11.315417,5.657709,4.243281,16.973126,9.900990,42.432815,14.144272,
38.028169,53.521127,12.676056,4.225352,14.084507,5.633803,28.169014,11.267606,78.873239,12.676056,
28.288543,53.748232,5.657709,2.828854,2.828854,2.828854,12.729844,33.946252,66.478076,35.360679,
45.826514,29.459902,14.729951,8.183306,8.183306,6.546645,16.366612,18.003273,60.556465,21.276596,
23.026316,47.697368,4.934211,19.736842,3.289474,4.934211,19.736842,18.092105,55.921053,16.447368,
26.315789,60.371517,9.287926,10.835913,7.739938,7.739938,9.287926,13.931889,54.179567,21.671827,
32.831737,65.663475,8.207934,8.207934,9.575923,2.735978,15.047880,12.311902,50.615595,25.991792,
26.845638,53.691275,5.592841,5.592841,7.829978,19.015660,16.778523,11.185682,46.979866,16.778523,
40.875912,16.058394,14.598540,10.218978,5.839416,8.759124,18.978102,14.598540,42.335766,16.058394,
26.431718,41.116006,4.405286,23.494860,4.405286,2.936858,19.089574,26.431718,55.800294,19.089574,
26.690391,56.939502,7.117438,5.338078,7.117438,3.558719,17.793594,23.131673,46.263345,23.131673,
20.989505,89.955022,7.496252,5.997001,0.000000,14.992504,13.493253,22.488756,65.967016,16.491754,
30.050083,71.786311,11.686144,0.000000,0.000000,15.025042,6.677796,8.347245,75.125209,26.711185,
36.626506,69.879518,9.638554,8.674699,8.674699,9.156627,19.759036,16.867470,53.975904,9.156627,
38.777908,63.454759,8.225617,5.875441,5.875441,12.925969,19.976498,21.151586,58.754407,28.202115,
16.541353,78.195489,4.511278,10.526316,7.518797,9.022556,18.045113,25.563910,45.112782,30.075188,
42.267051,69.164265,17.291066,11.527378,11.527378,7.684918,21.133525,13.448607,44.188280,20.172911,
50.535988,53.598775,15.313936,12.251149,5.359877,16.079632,11.485452,17.611026,49.770291,13.782542,
63.354037,75.776398,19.875776,17.391304,2.484472,12.422360,14.906832,4.968944,69.565217,8.695652,
71.875000,71.875000,12.500000,9.375000,15.625000,3.125000,31.250000,25.000000,78.125000,6.250000,
31.413613,36.649215,10.471204,8.726003,1.745201,8.726003,6.980803,31.413613,66.317627,17.452007,
31.250000,72.916667,10.416667,10.416667,3.906250,3.906250,10.416667,14.322917,69.010417,15.625000,
54.770318,67.137809,33.568905,5.300353,8.833922,3.533569,10.600707,14.134276,95.406360,28.268551,
77.903683,39.660057,33.994334,8.498584,9.915014,2.832861,15.580737,14.164306,73.654391,21.246459,
