saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.000000,0.000000,0.000000,0.000000,0.896861,0.896861,0.000000,0.000000,2.690583,0.000000,
0.000000,0.000000,0.000000,0.000000,3.816794,3.816794,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538503,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.918856,0.000000,
0.000000,0.000000,0.000000,0.000000,2.176279,2.176279,0.000000,0.000000,5.440696,0.000000,
0.000000,0.000000,0.000000,0.000000,4.321521,4.321521,0.000000,0.000000,1.728608,0.000000,
0.000000,0.000000,0.000000,0.000000,9.041591,9.041591,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.499250,1.499250,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,2.227171,2.227171,2.227171,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,2.392344,2.392344,0.000000,0.000000,1.196172,0.000000,
0.000000,0.000000,0.000000,0.000000,1.703578,1.703578,0.000000,0.000000,3.407155,0.000000,
0.000000,0.000000,0.000000,0.000000,5.681818,5.681818,0.000000,0.000000,1.136364,0.000000,
0.000000,0.000000,0.000000,0.000000,4.909984,4.909984,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,10.889292,10.889292,0.000000,0.000000,10.889292,0.000000,
0.000000,0.000000,0.000000,0.000000,3.265839,3.265839,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.802568,0.802568,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,2.092050,2.092050,0.000000,0.000000,2.092050,0.000000,
0.000000,0.000000,0.000000,0.000000,15.003751,15.003751,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,15.700483,15.700483,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,10.069713,10.069713,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.681514,6.681514,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,4.043127,4.043127,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,5.157298,5.157298,0.000000,0.000000,0.515730,0.000000,
0.000000,0.000000,0.000000,0.000000,23.289665,23.289665,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,13.850416,13.850416,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,14.590348,14.590348,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.946970,0.946970,0.000000,0.000000,0.946970,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,9.446694,9.446694,0.000000,0.000000,0.000000,0.000000,
0.847458,0.000000,0.847458,0.000000,5.084746,5.932203,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.554307,6.554307,0.000000,0.000000,0.936330,0.000000,
0.000000,0.000000,0.000000,0.000000,2.982849,2.982849,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,14.925373,14.925373,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,12.601260,12.601260,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,4.392387,4.392387,0.000000,0.000000,7.320644,0.000000,
0.000000,1.264223,1.264223,0.000000,7.585335,7.585335,0.000000,0.000000,0.000000,0.000000,
0.000000,2.148228,0.000000,0.000000,3.222342,3.222342,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.832639,0.000000,2.497918,2.497918,0.000000,0.000000,0.000000,0.000000,
0.000000,1.345895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,1.517451,0.000000,1.517451,1.517451,0.000000,0.000000,4.552352,0.000000,
0.000000,0.000000,0.000000,0.000000,13.483146,13.483146,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,8.298755,8.298755,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,8.196721,8.196721,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.283697,1.283697,0.000000,0.000000,0.000000,0.000000,
